korean,english,example1,translation1,example2,translation2
시간,time,시간이 없어요.,I don't have time.,시간이 몇 시예요?,What time is it?
사람,person,많은 사람이 있어요.,There are many people.,그 사람은 누구예요?,Who is that person?
일,work,일이 많아요.,I have a lot of work.,오늘 일이 어때요?,How is work today?
년,year,작년에 한국에 왔어요.,I came to Korea last year.,올해는 2025년이에요.,This year is 2025.
말,language/words,한국말을 배워요.,I'm learning Korean language.,이 말이 무슨 뜻이에요?,What does this word mean?
것,thing,이것은 무엇이에요?,What is this thing?,좋은 것을 샀어요.,I bought a good thing.
집,house/home,집에 갈 거예요.,I will go home.,집이 어디에 있어요?,Where is your house?
문제,problem,문제가 있어요.,There is a problem.,이 문제를 풀어 보세요.,Try to solve this problem.
중,during/middle,수업 중에 전화가 왔어요.,The phone rang during class.,중간 시험이 있어요.,There is a midterm exam.
가장,most,가장 좋아하는 음식은 뭐예요?,What's your most favorite food?,이것이 가장 비싸요.,This is the most expensive.
마음,heart/mind,마음이 아파요.,My heart hurts.,마음에 들어요.,I like it (It suits my heart).
생각,thought,어떤 생각이 있어요?,What thoughts do you have?,그 생각은 좋아요.,That thought is good.
이유,reason,이유가 뭐예요?,What is the reason?,이유를 설명해 주세요.,Please explain the reason.
번,number,전화번호가 뭐예요?,What's your phone number?,세 번 읽었어요.,I read it three times.
이름,name,이름이 뭐예요?,What is your name?,제 이름은 민수예요.,My name is Minsu.
물,water,물 좀 주세요.,Please give me some water.,물이 너무 차가워요.,The water is too cold.
질문,question,질문이 있어요.,I have a question.,질문에 대답해 주세요.,Please answer the question.
친구,friend,친구를 만났어요.,I met my friend.,친구와 영화를 봤어요.,I watched a movie with my friend.
가격,price,가격이 얼마예요?,How much is the price?,가격이 너무 비싸요.,The price is too expensive.
모두,everyone/all,모두 왔어요.,Everyone came.,모두 다 먹었어요.,I ate everything.
방,room,방이 넓어요.,The room is spacious.,방을 청소했어요.,I cleaned the room.
옆,next to,옆에 앉아 주세요.,Please sit next to me.,학교 옆에 은행이 있어요.,There's a bank next to the school.
뒤,behind,뒤에 서세요.,Stand behind.,뒤로 가세요.,Go to the back.
